iter	RMSE
0	1522.406356
1	1508.714566
2	1496.282746
3	1482.63628
4	1469.740963
5	1456.645544
6	1444.496025
7	1432.091885
8	1420.657769
9	1409.37204
10	1397.947392
11	1388.728421
12	1379.086361
13	1369.180732
14	1358.84128
15	1349.290798
16	1339.654912
17	1330.680934
18	1321.718544
19	1313.095247
20	1304.887295
21	1296.803854
22	1288.953767
23	1281.435795
24	1273.651536
25	1266.026216
26	1258.463889
27	1251.590582
28	1245.006559
29	1238.689792
30	1232.402968
31	1226.064787
32	1220.297388
33	1214.639629
34	1209.131392
35	1203.441275
36	1198.051503
37	1193.34563
38	1188.29869
39	1183.56023
40	1178.641356
41	1174.253086
42	1169.414727
43	1165.037804
44	1160.83965
45	1156.696519
46	1152.520234
47	1148.878218
48	1144.714762
49	1140.755648
50	1136.900389
51	1133.375415
52	1129.688807
53	1126.472619
54	1123.115314
55	1119.941614
56	1116.748454
57	1113.620381
58	1110.940537
59	1108.387131
60	1105.597691
61	1102.690426
62	1100.011333
63	1097.225391
64	1094.58738
65	1092.067344
66	1089.550407
67	1087.034551
68	1084.692961
69	1082.418613
70	1080.189922
71	1078.260853
72	1076.109783
73	1073.932012
74	1071.713899
75	1069.935968
76	1068.019984
77	1065.908288
78	1063.884816
79	1061.702072
80	1059.872867
81	1057.990766
82	1056.124468
83	1054.516583
84	1052.828889
85	1051.194087
86	1049.537177
87	1047.842723
88	1046.103161
89	1044.734181
90	1043.008923
91	1041.321902
92	1039.799642
93	1038.387012
94	1037.067537
95	1035.790418
96	1034.283695
97	1032.985843
98	1031.536936
99	1030.274325
100	1028.980051
101	1027.925536
102	1026.724166
103	1025.46772
104	1024.213895
105	1023.057371
106	1021.957398
107	1020.919913
108	1019.695434
109	1018.631655
110	1017.409452
111	1016.303179
112	1015.253291
113	1014.063978
114	1013.101261
115	1012.157753
116	1011.267617
117	1010.403306
118	1009.436991
119	1008.331385
120	1007.376719
121	1006.481178
122	1005.753162
123	1004.72194
124	1003.656426
125	1002.759546
126	1001.763524
127	1000.971041
128	1000.022677
129	999.2106635
130	998.5221131
131	997.6209616
132	996.6806013
133	995.9355674
134	995.0946035
135	994.2149684
136	993.4218764
137	992.6831804
138	991.9937128
139	991.174306
140	990.4197448
141	989.7083651
142	989.0883667
143	988.3590912
144	987.7163078
145	987.0098021
146	986.3296774
147	985.6236634
148	984.8173251
149	984.0530503
150	983.5112505
151	982.6897081
152	982.0188022
153	981.4181324
154	980.7813475
155	980.0964849
156	979.4566636
157	979.0103473
158	978.2253078
159	977.6802428
160	977.0783388
161	976.6631372
162	976.0909041
163	975.4054962
164	974.7951086
165	974.1168445
166	973.5483558
