iter	Passed	Remaining
0	73	146639
1	105	105100
2	148	98675
3	178	89115
4	205	82103
5	249	82946
6	273	77741
7	309	77132
8	341	75600
9	375	74673
10	408	73800
11	437	72497
12	472	72256
13	495	70347
14	525	69516
15	550	68297
16	580	67725
17	610	67221
18	634	66176
19	664	65770
20	687	64775
21	705	63405
22	734	63092
23	757	62393
24	778	61527
25	802	60934
26	831	60747
27	851	59936
28	878	59697
29	905	59461
30	931	59147
31	956	58838
32	983	58620
33	1006	58172
34	1024	57533
35	1044	56982
36	1066	56589
37	1095	56540
38	1123	56470
39	1142	55987
40	1169	55885
41	1190	55509
42	1210	55077
43	1228	54610
44	1248	54218
45	1264	53708
46	1286	53453
47	1306	53123
48	1329	52917
49	1352	52736
50	1377	52656
51	1401	52484
52	1421	52215
53	1442	51970
54	1468	51935
55	1493	51854
56	1517	51725
57	1545	51732
58	1568	51617
59	1589	51395
60	1621	51536
61	1641	51295
62	1664	51183
63	1685	50999
64	1705	50768
65	1724	50527
66	1744	50316
67	1762	50087
68	1783	49920
69	1804	49751
70	1826	49618
71	1845	49413
72	1864	49214
73	1882	48986
74	1901	48814
75	1920	48611
76	1939	48430
77	1956	48212
78	1977	48090
79	1995	47892
80	2016	47765
81	2037	47648
82	2055	47479
83	2073	47299
84	2093	47155
85	2110	46977
86	2130	46857
87	2151	46735
88	2172	46652
89	2190	46479
90	2209	46348
91	2226	46185
92	2247	46090
93	2265	45937
94	2282	45777
95	2301	45639
96	2330	45716
97	2354	45687
98	2381	45732
99	2403	45665
100	2429	45672
101	2457	45733
102	2494	45935
103	2519	45931
104	2539	45840
105	2557	45703
106	2577	45604
107	2595	45468
108	2618	45423
109	2636	45291
110	2658	45237
111	2677	45132
112	2696	45034
113	2715	44922
114	2734	44828
115	2753	44713
116	2772	44625
117	2791	44514
118	2810	44422
119	2827	44298
120	2848	44230
121	2865	44116
122	2884	44019
123	2902	43918
124	2922	43844
125	2941	43744
126	2959	43646
127	2976	43538
128	2996	43464
129	3015	43380
130	3035	43307
131	3053	43216
132	3073	43142
133	3091	43048
134	3111	42981
135	3129	42888
136	3147	42805
137	3171	42793
138	3191	42724
139	3208	42626
140	3227	42549
141	3244	42456
142	3264	42389
143	3281	42297
144	3302	42244
145	3324	42215
146	3350	42236
147	3379	42288
148	3400	42245
149	3421	42202
150	3443	42168
151	3462	42091
152	3481	42026
153	3498	41934
154	3516	41863
155	3535	41790
156	3554	41726
157	3573	41665
158	3594	41616
159	3617	41596
160	3638	41560
161	3660	41527
162	3680	41474
163	3698	41405
164	3716	41337
165	3734	41261
166	3754	41205
167	3772	41139
168	3794	41110
169	3811	41030
170	3830	40969
171	3847	40894
172	3867	40846
